CD,Gore,Bush '00,Kerry,Bush '04,Obama 2008,McCain 2008,Obama 2012,Romney 2012,"Clinton
2016","Trump
2016"
NY-22,44,51,46,54,49,49,48.8,49.2,39.3,54.8
NY-23,56,39,55,43,50,49,48.4,49.6,39.7,54.5
NY-24,51,42,54,45,56,42,57,41.1,48.9,45.3
NY-25,47,49,47,51,59,40,58.8,39.4,55.5,39.1
NY-26,47,48,47,53,63,35,63.9,34.3,57.6,38
NY-27,51,45,50,48,44,54,42.9,55.3,35.2,59.7
OH-01,44,51,43,55,47.2,51.8,46.3,52.4,44.6,51.2
OH-02,53,41,53,45,44.3,54.2,43.7,54.7,39.7,55.8
OH-03,60,35,63,36,67.4,31.3,69.7,28.9,67,28.6
OH-04,43,53,42,56,43.7,54.4,42,56,30.7,64.3
OH-05,46,51,49,51,46,52.2,44.1,53.9,34.6,59.7
OH-06,34,63,36,64,44.7,53.1,42.7,55.2,26.7,69.3
OH-07,45,52,46,54,46.9,50.9,44.2,53.7,32.8,62.5
OH-08,35,62,34,65,38.1,60.3,36.4,61.9,30.6,65.1
OH-09,37,59,39,61,66.8,31.6,67.6,30.9,58.7,36.5
OH-10,47,49,49,51,49.3,49.3,48.2,50.1,44,51.3
OH-11,42,56,43,57,82,17.2,82.8,16.5,80.5,17
OH-12,36,61,35,64,44.8,53.7,43.9,54.4,41.9,53.2
OH-13,55,41,58,42,62.3,35.8,62.9,35.4,51.1,44.6
OH-14,53,42,58,41,49.1,49.4,47.6,50.9,42.1,53.6
OH-15,79,18,81,18,46.1,52.2,46.3,51.9,39.9,55.3
OH-16,46,52,49,51,47.2,51.3,45.2,53.4,39.5,56.1
OK-01,53,44,56,44,35.8,64.2,34.2,65.8,32.7,61.4
OK-02,44,52,47,53,34.3,65.7,32.2,67.8,22.8,72.9
OK-03,44,52,50,50,27.1,72.9,26.1,73.9,20.9,73.6
OK-04,42,53,46,54,33.9,66.1,32.9,67.1,28.3,65.7
OK-05,60,35,63,37,40.8,59.2,40.8,59.2,39.8,53.2
OR-01,41,55,43,57,59.6,37.7,57.3,40,57.3,34.5
OR-02,37,62,35,65,43.3,53.8,40.5,56.8,36.4,56.5
OR-03,47,52,41,59,72.9,24.3,72,24.7,70.7,22.5
OR-04,34,65,28,72,54.2,42.7,51.7,45,46.1,46
OR-05,38,61,33,67,53,44.2,50.5,47.1,48.3,44.1
PA-01,38,62,36,64,78.7,20.6,82.3,16.9,79.5,18.2
PA-02,50,44,55,44,91,8.8,90.4,9,90.4,7.6
PA-03,35,60,38,61,46.3,52.3,43,55.6,35,61.1
PA-04,61,32,67,33,45.1,53.8,41.5,57.1,37.1,58.6
PA-05,44,49,49,49,47.1,51.5,41.5,57.1,33.5,62.3
PA-06,47,48,49,50,53,46,48.1,50.6,48.2,47.6
PA-07,84,15,84,15,51.2,47.8,48.5,50.4,49.3,47
PA-08,87,12,87,12,53.2,45.7,49.3,49.4,48,48.2
PA-09,47,51,47,53,40.9,57.9,35.9,62.8,27.2,69.7
PA-10,46,52,45,54,42.3,56.5,38.4,60.1,30.2,66.1
PA-11,38,59,39,61,47.1,51.7,44.5,53.9,36.2,60
PA-12,49,49,52,48,44.7,54.1,40.9,57.8,37.9,58.7
PA-13,51,47,53,47,65.4,33.7,66.2,32.9,65.3,31.7
PA-14,51,46,51,48,67,32,68,30.6,66.8,30.9
PA-15,34,64,33,67,52.1,46.6,47.9,50.8,44.2,51.8
PA-16,41,56,40,60,50.1,49,46.3,52.4,44.2,51
PA-17,54,43,53,47,56.9,41.9,55.4,43.3,43.3,53.4
PA-18,55,44,51,49,43.8,55.2,41,57.9,38.5,58.1
RI-01,56,42,56,43,66.6,31.8,66.2,32.2,60.5,34.9
RI-02,70,28,69,30,59.9,38.3,59.8,38.3,51.1,44
